PAK1	ERBB2	0.73
KIT	KIT	0.78
LYN	KIT	0.9
SRC	KIT	0.87
MATK	KIT	0.85
TEC	KIT	0.9
FGR	FGR	0.77
FGR	SRC	0.7
LYN	LYN	0.87
TYK2	LYN	0.75
LYN	BTK	0.87
MATK	LYN	0.65
PRKDC	LYN	0.75
PHKG1	PHKG1	0.52
PHKG1	PHKG2	0.84
FER	FER	0.87
EPHA8	EPHA8	0.52
ZAP70	ZAP70	0.78
ABL1	ZAP70	0.73
EPHA3	EPHA3	0.52
MET	DAPK3	0.63
GSK3B	MARK2	0.52
ROCK1	ROCK1	0.73
ITK	ITK	0.85
ITK	BMX	0.52
ITK	BTK	0.66
ABL1	ABL1	0.87
SRC	ABL1	0.9
NTRK1	ABL1	0.89
ABL1	BTK	0.66
PRKDC	ABL1	0.75
EPHB2	ABL1	0.79
PAK2	ABL1	0.77
ATM	ABL1	0.9
FES	FES	0.7
BMPR2	MOS	0.52
DDR2	SRC	0.87
SRC	BMX	0.84
MATK	SRC	0.77
SRC	TXK	0.55
TYRO3	SRC	0.73
MYLK	SRC	0.73
EPHB2	SRC	0.96
SRC	PAK2	0.86
SRC	PDPK1	0.55
ERBB4	ERBB3	0.85
PTK6	ERBB3	0.88
NTRK1	NTRK1	0.9
MATK	NTRK1	0.77
IRAK1	NTRK3	0.52
BRSK1	WEE1	0.52
BTK	BMX	0.52
TEC	BMX	0.52
PAK1	BMX	0.79
PAK3	PAK3	0.68
IRAK1	IRAK1	0.88
IRAK2	IRAK1	0.88
IRAK3	IRAK1	0.88
IRAK4	IRAK1	0.9
BTK	BTK	0.9
TEC	BTK	0.66
TXK	TXK	0.55
JAK3	JAK3	0.62
DDR1	DDR1	0.8
NTRK2	NTRK2	0.79
EPHB2	RYK	0.73
EPHB3	RYK	0.74
STK11	MARK2	0.65
TEC	TEC	0.52
PLK4	TEC	0.65
EPHB1	EPHB1	0.65
EPHB6	EPHB1	0.52
LIMK1	BMPR2	0.77
MERTK	BMPR2	0.59
DAPK1	DAPK1	0.89
GRK6	GRK6	0.84
GRK5	GRK5	0.67
PRKDC	PRKDC	0.69
ATM	PRKDC	0.86
PAK1	MYLK	0.69
PAK2	MYLK	0.65
EPHB2	EPHB2	0.96
PKN1	PKN1	0.69
PDPK1	PKN1	0.89
ROCK1	LIMK1	0.66
LIMK2	LIMK1	0.86
PAK1	LIMK1	0.9
PAK4	LIMK1	0.78
LATS1	LIMK1	0.76
ROCK1	LIMK2	0.86
TESK1	TESK1	0.65
EPHB3	EPHB3	0.55
