MST1R	YES1
TYRO3	YES1
FGR	SRC
ATR	FLT1
LYN	PRKCD
LYN	SYK
LYN	MAP4K1
PDGFRB	PIK3CA
PHKG1	PHKG2
PDGFRA	PDGFRB
EIF2AK2	PDGFRB
ARAF	MAP2K1
MAP2K1	RPS6KA4
KSR2	MAP2K1
ABL1	ZAP70
PTK2B	ZAP70
MAP2K2	MAPK1
MAPK1	RPS6KA1
DYRK1B	MAPK1
KSR2	MAPK1
PRKCA	SRC
MYLK	PRKCA
BMPR2	PRKCB
MAPK6	PRKCB
GSK3B	PRKCB
PDPK1	PRKCB
HK2	PRKCE
PIK3CB	PRKCE
PDPK1	PRKCE
PIK3CB	PRKCD
PDPK1	PRKCD
MARK4	PRKCG
IRAK1	PRKCZ
MAP2K5	PRKCZ
DAPK3	PRKCZ
PDPK1	PRKCZ
ARAF	PKM
GSK3B	MARK2
BTK	PRKCZ
BTK	PRKCQ
BTK	PRKCE
BTK	PRKCA
OBSCN	TTN
ABL1	BTK
ABL1	MAP4K1
BMPR2	MOS
DDR2	SRC
MATK	SRC
SRC	TXK
MST1R	SRC
MYLK	SRC
EPHB2	SRC
PTK2B	SRC
PRKACA	SRC
GUCY2C	SRC
MAPK15	SRC
AMHR2	TGFBR1
ACVRL1	TGFBR1
BMPR1B	TGFBR1
MAP3K20	TGFBR1
ACVRL1	TGFBR2
CHUK	MAP3K8
BMPR2	MAP3K8
MAP2K4	MAP3K8
ATR	KDR
MATK	NTRK1
IRAK1	NTRK3
MAPK3	NTRK3
BRSK1	WEE1
MAPK3	RPS6KA3
RPS6KA3	STK11
PDPK1	RPS6KA3
MAP2K5	PRKCI
PDPK1	PRKCI
MARK4	PRKCI
CHUK	MAP3K11
MAP2K7	MAP3K11
IKBKB	MAP3K11
PTK2	SYK
PTK2B	SYK
MAP2K4	MAP3K10
MAP2K6	MAPK14
MAP2K4	MAPK14
MAP2K3	MAPK14
MAPK14	RPS6KA4
DYRK1B	MAPK14
MAPK14	MAPKAPK5
MAP2K4	MAP3K12
MAP2K7	MAP3K12
MARK3	PRKCQ
IKBKB	PRKCQ
PRKCQ	STK39
EPHB2	RYK
EPHB3	RYK
PLK4	TEC
PTK2	TRIO
GSK3B	PTK2
BMPR1A	BMPR2
BMPR1B	BMPR2
MAPK8	PRKDC
ATM	PRKDC
MAPK3	MYLK
CAMK2G	MYLK
PDPK1	PKN1
MAP2K4	MAPK8
MAP3K7	MAPK8
MAP2K7	MAPK8
MAP3K2	MAPK8
MAP2K6	MAPK12
MAP2K6	MAPK13
MAP2K2	MAPK3
CDC42BPA	LIMK1
LATS1	LIMK1
MAP2K4	MAPK12
MAP2K4	MAPK9
MAP2K4	MAPK10
PRKACA	STK11
PDPK1	PRKACA
MAPK3	RPS6KA1
PDPK1	RPS6KA1
MAPK3	RPS6KA2
TRIM24	TRIM28
MAP2K3	MAPK3
MAPK3	MKNK1
KSR2	MAPK3
MAP3K7	MAP4K1
CDC42BPA	LIMK2
MAPK13	MAPK3
ATM	STK11
RPS6KA5	STK11
MARK4	STK11
RPS6KB1	STK11
STK11	STRADA
MAP2K3	MAPK12
GSK3B	ILK
BUB1B	MAP3K4
MAP3K3	MAP3K5
MAP2K7	MAP3K5
ERN1	MAP3K5
MAP3K2	MAP3K5
MAPK7	SGK1
PDPK1	PKN2
MAP3K2	PKN2
OXSR1	PAK1
MAP3K14	MAP3K7
MAP2K7	MAPK9
MAPK11	MAPKAPK5
NEK6	SGK1
PDPK1	SGK1
CAMKK1	SGK1
PDK2	SGK1
ATM	CHEK1
ATR	CHEK1
CHEK1	TLK1
EIF2AK3	IKBKB
MAP3K14	RIPK1
ATM	CHEK2
ATR	CHEK2
NEK6	RPS6KB1
PDPK1	SGK2
PDPK1	SGK3
PDPK1	RPS6KB1
PDPK1	RPS6KB2
PRKCH	PRKD1
CASK	CSNK2A2
MAST2	STK36
CDK9	STK36
TLK1	TLK2
BRSK2	WEE1
MAPK1	PAK1
AKT1	GSK3B
GRK2	SRC
MAP3K7	STRADB
PLK1	WEE1
ACVR1	IKBKB
ACVR1	NEK8
ACVR1	NUAK2
ACVR1	PAK1
ACVR1	TGFBR1
AURKB	TGFBR1
BMPR1B	CDK4
BMPR1B	OXSR1
BMPR1B	PAK1
BMPR1B	STK35
CDK4	TGFBR1
CDK6	TGFBR1
CDKL1	TGFBR1
CHUK	EIF2AK2
CHUK	PRKCQ
CHUK	TGFBR1
CSNK1A1	TGFBR1
CSNK2A2	TGFBR1
DAPK2	TGFBR1
EIF2AK4	TGFBR1
IGF1R	PRKCD
IGF1R	PRKD1
IKBKB	TGFBR1
ITK	TGFBR1
MYO3A	TGFBR1
NEK6	TGFBR1
NEK8	TGFBR1
NUAK2	TGFBR1
OXSR1	TGFBR1
PAK1	TGFBR1
PLK4	TGFBR1
STK35	TGFBR1
TGFBR1	TSSK4
RAF1	STK3
LATS1	STK4
LATS2	STK3
PTK2	RIPK1
EGFR	PAK1
FGFR1	PAK1
MAP2K6	MAP3K5
PDGFRB	SRC
MAP3K14	MAPK3
FLT4	KDR
BRD2	FGFR1
MAP2K5	MAP3K2
MAP2K5	MAP3K3
NME1	NME4
CLK2	CLK3
MAPK3	RAF1
MAPK3	PRKCD
MAPK1	PRKCD
PAK1	PRKCD
MAPK3	PRKCE
MAPK3	PRKCZ
MAPK1	PRKCZ
EPHB2	KALRN
EPHA4	FGFR1
EPHA4	FGFR2
EPHA4	FGFR3
EPHB2	PTK2
FLT1	FYN
FLT1	YES1
EGFR	MET
EGFR	ERBB4
FLT4	PTK2
KDR	YES1
EGFR	MAP2K1
EGFR	EPHA2
EGFR	MAPK1
EGFR	PRKD1
FGFR1	RPS6KA1
FYN	KIT
HCK	KIT
IGF1R	INSR
IGF1R	JAK2
IGF1R	MAP3K5
INSR	JAK1
INSR	JAK2
INSR	SRC
JAK1	PDGFRB
JAK1	PDGFRA
JAK1	PRKCZ
JAK2	PDGFRB
JAK2	MST1R
LCK	PTK2
AKT1	MST1R
AKT1	PRKDC
AKT1	PDK2
AKT1	PAK1
AKT1	IKBKB
AKT1	WNK1
KIT	PRKCB
KIT	PIK3CG
LYN	TEC
PDGFRB	TYK2
EIF2AK2	MAP3K7
MAP2K1	PRKCZ
MAP2K1	PRKCI
MAP2K1	MAPK14
FGFR2	PTK2B
FGFR2	PAK4
MAPK1	PAK2
PRKCD	SRC
FES	JAK3
IRAK1	MAPK8
IRAK1	MAP3K7
IRAK1	RIPK2
BTK	PIP5K1B
BTK	PIP4K2B
BTK	PIP5K1A
BTK	PIP5K1C
BTK	PIP4K2A
BTK	PIP4K2C
PTK2	ROCK1
MAP2K4	MAP3K14
MAPK3	PAK2
MAP3K3	WNK1
IKBKB	TBK1
ACVR2A	ACVRL1
EEF2K	RPS6KB2
DAPK1	MAPK1
BMPR1B	SGK196
SGK196	TGFBR1
PAK1	TGFBR2
PRKCH	SRC
CDC7	CDK4
ABL1	PRKD1
CDK5	MAP2K1
ABL1	CDK5
CDK5	SRC
CDK5	ERBB3
CDK5	PAK1
CDK5	MAPK10
CAMK2B	CAMK2D
STK39	WNK4
CSK	FYN
CSK	HCK
CSK	LCK
CSK	FGR
CSK	LYN
CSK	SRC
CSK	MAPK15
KSR1	RAF1
KSR1	MAP2K1
EGFR	LYN
PAK2	YES1
EIF2AK2	TYK2
EIF2AK2	JAK1
EGFR	PIK3C2A
ERBB2	PIK3C2A
CDK5	PIP5K1C
NEK11	NEK2
EGFR	GRK2
PRKCE	RPS6KB2
PAK2	RAF1
MAP3K8	RIPK1
KSR1	MARK3
KSR1	MAPK1
CHUK	IKBKB
IRAK1	MAPK14
PIK3CA	RPS6KB1
PDK1	RPS6KB1
MAPK3	RPS6KB1
MAPK8	RPS6KB1
MAPK9	RPS6KB1
EGFR	ERBB2
CAMK2G	EGFR
CAMK2A	EGFR
CSF1R	FYN
EPHA8	FYN
FYN	TXK
EPHB3	FYN
EPHA4	FYN
ABL2	HCK
ABL1	HCK
BTK	HCK
MERTK	TNK2
INSR	PTK2
GSK3A	SGK1
JAK1	TYK2
FER	JAK1
ABL1	JAK1
BTK	JAK1
JAK2	RAF1
ERBB2	JAK2
ABL1	JAK2
KIT	LCK
LCK	ZAP70
LCK	PRKCD
JAK3	LCK
LCK	PRKCQ
HIPK3	LIMK2
ABL1	ABL2
AKT1	RAF1
AKT1	MAP3K8
AKT1	IRAK1
AKT1	MAP3K11
AKT1	CHUK
AKT1	MAP2K4
AKT1	MAP3K5
AKT1	CHEK1
AKT1	GSK3A
AKT2	CHUK
PDGFRB	RAF1
MAPK1	RAF1
PRKCA	RAF1
PRKCE	RAF1
PRKCZ	RAF1
PKM	RAF1
PAK3	RAF1
PRKACA	RAF1
MAP3K5	RAF1
MAPK7	RAF1
PAK1	RAF1
PRKAA1	RAF1
DMPK	RAF1
KSR2	RAF1
PBK	RAF1
IKBKE	ROCK2
LRRK1	PAK4
CAMK2A	CAMK2B
CAMK2A	CAMK2D
STK24	STK25
PASK	STK16
ROCK2	STK16
TTBK1	TTBK2
NEK6	NEK7
SNRK	STK16
CDK4	LYN
CHEK1	CSNK2A1
BMPR2	TGFBR1
ATR	PIK3CA
CDK5	LMTK2
MAPK14	SYK
AKT1	MAPK14
CDK2	CDK6
MAP3K1	MAPK8
PIK3CD	PIK3CG
EGFR	IGF1R
BTK	RPS6KB1
CSNK2A1	RPS6KB1
LYN	RPS6KB1
PRKCZ	RPS6KB1
BTK	RPS6KB2
LYN	RPS6KB2
AKT1	PAK6
PDK1	PKN2
PDK1	PKN1
LCK	PI4KA
BTK	FYN
IGF1R	PTK2
CSF1R	SRC
ITK	SRC
PTK2	YES1
MAP2K1	MAP3K1
MAPK14	RPS6KA3
MAPK14	RPS6KA5
ACVR1B	ACVR2A
PIK3CA	SGK1
EPHB2	YES1
AKT1	MARK2
ABL1	EPHA3
BRD4	FGFR1
BRD4	CDK9
MARK2	MARK3
MARK2	PRKCI
MARK2	MARK4
CDK9	TRIM28
ATM	TAOK3
ABL1	CDKL5
MAP3K3	PFKL
ABL2	SRC
MAP3K8	PFKL
MAP3K3	PRKDC
MAP3K3	MYLK2
CHUK	MAP3K3
MAP3K1	MYLK2
FYN	NEK8
CDKL5	FYN
FYN	MOS
MAP2K1	TRIB3
MAP2K7	TRIB3
AATK	CDK5
MAP2K3	PKN1
MAP3K20	PKN1
EGFR	YES1
EGFR	EPHB4
BMX	PIM1
ILK	KHK
PAK2	TRIM28
IKBKE	PAK1
IKBKE	PDXK
IKBKE	TRIM28
MELK	STK16
IKBKE	SYK
IKBKE	SLK
GSK3B	MAP2K5
IKBKE	STK16
KSR1	MAP2K2
ROR1	SRC
VRK1	VRK3
AKT1	PI4K2B
MAPK13	PKM
MAPK13	PRKD1
MAPK13	PGK1
GSK3A	MAP3K11
STK25	STK26
STK24	STK26
ERBB3	PIK3CA
OXSR1	WNK4
OXSR1	WNK1
ABL1	EGFR
ABL1	ERBB2
ABL1	ERBB3
ABL1	PRKCD
ABL1	ERBB4
PRKCA	TYK2
AKT1	STK4
ABL2	EGFR
ABL2	ERBB2
ABL2	ERBB3
ABL2	ERBB4
BRAF	MAP2K2
CSNK1A1	PRKD2
BLK	EGFR
BLK	ERBB2
BMX	EGFR
BMX	ERBB2
PRKCE	RPS6KA2
PDK1	SGK3
CSNK1D	PRKD2
CSNK1E	PRKD2
ACVR1	ACVR2A
CDK4	CDK7
ERBB2	PTK6
ILK	PDK1
AKT2	ROCK1
AKT2	MARK2
PRKACA	SIK3
MYLK	PRKD2
KALRN	PRKD2
EPHB1	PDGFRB
ALK	GAK
ALK	MYLK
ALK	EPHB2
ALK	EPHA1
ALK	MAP3K1
ALK	MAP3K5
ALK	MAP3K4
ALK	MAP2K7
ALK	JAK2
ALK	MAPK1
ALK	PIK3CB
STK3	STK4
CDC42BPB	MAP2K5
STK4	TAOK1
MKNK1	PRKDC
CAMKK2	PRKDC
HCK	MAP4K5
CSNK2A2	PRKDC
CDK5	MAST1
MAP2K1	WNK1
DYRK1B	PAK1
BTK	MYLK2
CAMKK2	MAPK14
CAMKK2	PRKAA2
PRKAA2	ULK1
BUB1	BUB1B
ABL2	MAP3K10
GSK3A	GSK3B
PAK3	PLK1
PAK1	PLK1
DYRK1B	HIPK2
DYRK1A	HIPK2
PAK2	TNK2
SRPK1	SRPK2
LATS1	NUAK1
MET	PASK
ARAF	WNK1
EGFR	MAST1
CSNK2A1	SRC
EGFR	MAP3K12
PFKL	TESK1
PAK2	RIOK3
CASK	CDK9
HIPK2	MKNK1
IRAK3	NTRK3
ARAF	TESK1
NUAK1	STK11
MAPK8	RAF1
EGFR	TRIM28
MAP2K3	MAP3K5
ATR	CLK2
CHUK	PRKCA
CHUK	PRKCD
FGFR1	JAK2
ABL1	STK4
MAPK14	PI4K2B
PRKAA1	SIK3
PRKAA1	SIK2
PDPK1	PRKCQ
DYRK1A	FGFR1
CAMKK2	IRAK1
IKBKB	PRKCI
CDK1	PBK
CDK1	EEF2K
BMPR2	PRKG1
PRKAA1	SIK1
PDK1	SGK1
PRKAA1	SNRK
BRAF	MAP3K1
MTOR	STK38
HCK	SRC
FGFR1	SRC
IKBKB	PRKCD
IKBKB	PRKCA
BRAF	PRKCA
SRC	TNK2
MAPK11	MAPK14
RPS6KA1	TTK
GSK3B	NRBP1
MAPK3	RPS6KA6
MAPK6	PLK1
GSK3B	PIM2
MAPK6	TTK
CSNK1E	TAOK1
PLK1	VRK3
MAPK6	MOK
CDK4	PKM
BRAF	RPS6KA2
AURKA	TLK1
AURKA	NME1
ATM	DYRK2
ALK	CDK13
AURKA	TLK2
MTOR	PRKCA
BRD4	CKM
AKT1	BRAF
MAPK1	MAPK3
AKT1	ERBB3
GSK3B	MTOR
AURKA	PLK1
CDK1	JAK3
EGFR	ROR1
BRAF	PAK2
CDK20	MAK
MAP2K1	MAP2K2
CDK1	LATS1
CDK19	CDK8
BRAF	LIMK1
CDK7	CDK9
BRAF	RAF1
IRAK3	IRAK4
BRAF	MAP2K1
MLKL	RIPK3
CSNK2A1	PRKACB
CDC42BPA	CDC42BPB
KDR	MET
ERBB3	ROR1
LRRK1	LRRK2
LYN	MAPK1
MAP2K7	MAP3K4
CSNK2A1	PRKDC
EGFR	RIOK1
MAP3K7	PRKAA1
PINK1	PRKDC
AKT1	HK1
LRRK2	RIPK2
LRRK2	RIPK1
MAP2K4	MAP3K5
BMPR2	TRIB3
LRRK2	STK24
PRKAA1	STK11
CSNK1D	KDR
CHEK2	LATS2
CDK2	HK1
CDK20	ICK
CHEK2	TRIM28
TNK2	YES1
FES	TRIM28
GRK5	STK38
EGFR	JAK1
LATS1	RAF1
JAK2	MAP3K5
AKT1	CAMK2A
AURKA	GSK3B
ABL1	BMP2K
GRK5	SRPK1
LRRK2	PRKDC
LRRK2	PRKCZ
LRRK2	MAP2K3
LRRK2	MAP2K6
LRRK2	MAP2K7
IKBKB	IKBKE
ICK	MAPK1
SGK1	WNK4
IRAK1	PRKCD
MAP3K4	RIPK2
LRRK2	MAP2K4
LATS1	MAST2
CHUK	IKBKE
AURKA	LATS2
GRK5	PRKDC
LRRK2	STK25
LRRK2	STK3
CDK2	PGK1
CDK2	PKM
GRK5	MAP4K4
CDK2	PRKDC
CDK1	WEE1
BUB1B	PLK1
GSK3B	MAP3K1
OXSR1	TGFBR2
ATM	CSNK1D
ATM	MAPK14
MARK2	PINK1
AKT1	WNK4
CDK2	TTN
GRK5	PIP4K2A
MAP3K1	MAPK9
CHEK1	LATS2
LRRK2	TAOK3
LRRK1	MAP4K1
MAPK8	MTOR
CHUK	RIPK1
AURKB	HASPIN
AURKB	BUB1B
MAP3K4	MAPK8
CDK2	LATS2
CDK2	TRIM28
